scene,comparison,frame_id,iteration,stage,input_token_drift,stage_drift
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1397,1,adaln_input,11.513624203240544,40.476547938101355
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1419,1,adaln_input,12.970640258845407,47.816265807699295
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1452,1,adaln_input,11.521870207414636,40.38069175534877
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1475,1,adaln_input,12.072640955708108,41.56658665621782
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1508,1,adaln_input,10.44989252201605,35.126532994607395
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1531,1,adaln_input,12.588642396753245,44.3353235222175
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1564,1,adaln_input,12.275238545925223,46.226687355414
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1587,1,adaln_input,12.28277972198754,49.14181718264033
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1620,1,adaln_input,11.466457602902151,42.44597787844489
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1642,1,adaln_input,10.648389417590195,39.009146292143974
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1676,1,adaln_input,10.540576466012071,35.03053299424044
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1698,1,adaln_input,10.802401411666342,35.85905056760751
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1732,1,adaln_input,11.46936732305689,38.19646243000227
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1754,1,adaln_input,10.757956895597257,35.89532305702196
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1788,1,adaln_input,11.552760529739821,40.789718374378864
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1810,1,adaln_input,13.235274446483691,51.84562825454766
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1844,1,adaln_input,13.707392162985986,54.57998213263726
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1877,1,adaln_input,11.263167947057472,44.22605172456579
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1899,1,adaln_input,5.688993421963339,19.113885792502046
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1933,1,adaln_input,4.864998592104088,15.536247118490996
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1955,1,adaln_input,4.875062457207849,15.520296481882582
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1989,1,adaln_input,4.834632074412,15.32260057014915
