scene,comparison,iteration,stage,feature_dim,input_token_rms_drift,stage_rms_drift,stage_mean_drift,stage_median_drift,stage_p95_drift,amplification_ratio
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1,trunk_norm,2048,7.866933652716884,6.49591196960403,5.693651861928867,4.302979074665659,12.642921280205645,0.8257234974087567
scene0000_00,H200(Z200)_vs_H200(Z500_shared),2,trunk_norm,2048,7.866933652716884,4.514746623619016,4.27121429086681,3.730253830668909,6.749240279286192,0.5738889919403128
scene0000_00,H200(Z200)_vs_H200(Z500_shared),3,trunk_norm,2048,7.866933652716884,7.232779969901398,7.186779778829675,7.054386478339087,8.694828170301296,0.9193899795256978
scene0000_00,H200(Z200)_vs_H200(Z500_shared),4,trunk_norm,2048,7.866933652716884,5.705535118820716,5.568359201229864,5.226764328964611,8.0205937730286,0.7252552736160781
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1,pose_delta_9d,9,7.866933652716884,0.7758900311062035,0.5170971456943935,0.20438488803895719,1.9009163394231567,0.09862674141636445
scene0000_00,H200(Z200)_vs_H200(Z500_shared),2,pose_delta_9d,9,7.866933652716884,0.025881712570156683,0.019261990281582358,0.012593033203654444,0.05651735599633088,0.0032899365512277213
scene0000_00,H200(Z200)_vs_H200(Z500_shared),3,pose_delta_9d,9,7.866933652716884,0.015522874779297532,0.00934645628192444,0.004877134090489239,0.03555921801450526,0.0019731798264164377
scene0000_00,H200(Z200)_vs_H200(Z500_shared),4,pose_delta_9d,9,7.866933652716884,0.005677759463358216,0.0031951276093120434,0.0014742431889476575,0.012420578860914314,0.0007217245897831328
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1,raw_pose_9d,9,7.866933652716884,0.7758900311062035,0.5170971456943935,0.20438488803895719,1.9009163394231567,0.09862674141636445
scene0000_00,H200(Z200)_vs_H200(Z500_shared),2,raw_pose_9d,9,7.866933652716884,0.7751675099851589,0.5158526030090991,0.20531749677903477,1.8901604342719283,0.09853489862819055
scene0000_00,H200(Z200)_vs_H200(Z500_shared),3,raw_pose_9d,9,7.866933652716884,0.7751750213337525,0.5154193842744504,0.20583803894698954,1.8808676435455007,0.09853585342823401
scene0000_00,H200(Z200)_vs_H200(Z500_shared),4,raw_pose_9d,9,7.866933652716884,0.7749934112156228,0.5150457248488426,0.20577382959568272,1.8890559931804347,0.09851276817975643
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,1,adaln_input,2048,0.0,0.0,0.0,0.0,0.0,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,2,adaln_input,2048,0.0,0.05969912070323531,0.052779489402180475,0.0459318776991547,0.08298515049957497,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,3,adaln_input,2048,0.0,0.10063960304171576,0.09221941797521177,0.0838921039142303,0.16974787639057995,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,4,adaln_input,2048,0.0,0.14412409198550147,0.12587975725012696,0.10517824668222586,0.2672684770632673,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,1,block_1,2048,0.0,0.3139161771707826,0.2993040896833812,0.29001829298148696,0.4622588969186433,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,2,block_1,2048,0.0,0.5821559643690061,0.49358909922887034,0.4437898208963079,0.9488594712465249,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,3,block_1,2048,0.0,0.5498181937859814,0.4938802225675007,0.4347204822067418,0.8566456085702671,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,4,block_1,2048,0.0,0.587977905962592,0.5421135506550145,0.5114420254056278,0.9166841195254859,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,1,block_2,2048,0.0,0.3475213384738317,0.3365268221090979,0.32458752608096403,0.4745314643336241,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,2,block_2,2048,0.0,1.958728737575445,1.0741725439835001,0.7860719709627171,2.5551735248982834,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,3,block_2,2048,0.0,1.349440325843341,0.8157436662203975,0.7126148120526284,1.1627775473453845,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,4,block_2,2048,0.0,1.1971125592502707,0.8369540636797481,0.7774881444473125,1.0722852137164296,
