scene,score,gate,frame_count,score_mean,score_p95,translation_growth_mean,translation_growth_pearson,translation_growth_spearman,rotation_growth_pearson,rotation_growth_spearman,translation_growth_bottom_quartile_mean,translation_growth_top_quartile_mean
scene0000_00,global_local_token_cosine,all,500,0.42695216232587213,0.7493034519476005,1.1091992589761088,-0.02532530832302786,-0.08267620270481081,0.06348704317305909,-0.20371185484741938,1.1780238652934634,1.161131565157765
scene0000_00,global_local_token_cosine,reliable,182,0.39460303505681577,0.7067141114730703,1.221685427632485,0.11294926617871083,0.09604063177109097,0.3147484073571692,0.153460976121967,0.9409788453172895,1.169138983882047
scene0000_00,global_local_pose_translation,all,500,0.23145517645471142,0.5960972697593918,1.1091992589761088,0.4643301634002201,0.23487559550238205,0.364158309503242,0.26519568478273914,1.0045016897905872,1.5089406807286891
scene0000_00,global_local_pose_translation,reliable,193,0.2718888413431534,0.6567970674036714,1.1124742988370588,0.5939462634022071,0.4328928743122696,0.2548794632005769,0.23779111692751453,0.8912766297024453,1.6443708104766797
scene0000_00,global_local_pose_rotation_deg,all,500,85.75328563371056,175.79992767571898,1.1091992589761088,0.3160998728485634,0.2777335269341077,0.21802342180809922,0.08265565862263449,0.911170659356908,1.3840494828287513
scene0000_00,global_local_pose_rotation_deg,reliable,193,81.36769318838941,161.07085420465077,1.1124742988370588,0.44244868841617513,0.4415395812189519,0.3450230798247381,0.28798541744564926,0.7858513838211888,1.445392608099531
scene0000_00,local_local_token_cosine,all,400,0.49206024326543785,0.8090369525460603,1.1324696907570293,-0.04129401014437791,0.04431515196969981,-0.17777389855364634,-0.20206232538953364,0.9423492579303577,1.1571130923310518
scene0000_00,local_local_pose_translation,all,400,0.02451234103064013,0.05630506301919594,1.1324696907570293,-0.010694380635689645,0.041760823505146906,-0.0998885927043735,-0.19746817167607295,1.1246519720407198,1.1626238975745717
scene0000_00,local_local_pose_rotation_deg,all,400,4.137040665744623,10.828394121632835,1.1324696907570293,0.4417042441353994,0.4382586766167288,0.1360045407557195,0.05150713441959012,0.7530345168794674,1.5590996081275978
scene0013_02,global_local_token_cosine,all,500,0.3387788770129179,0.8946870630106022,0.019100322737952587,0.19910333985529247,0.34728522914091653,0.43562650120545426,0.4542730490921963,0.008413182387533483,0.020841760597650187
