scene,frame_id,sequence_index,window_index,window_start,window_stop,boundary_distance,global_local_token_cosine,global_local_pose_translation,global_local_pose_rotation_deg
scene0000_00,0,0,0,0,100,0,0.08107804659542495,0.03243921981710361,7.9865428013572375
scene0000_00,11,1,0,0,100,1,0.13582893549422959,0.035342136810647316,6.988049332431518
scene0000_00,22,2,0,0,100,2,0.10570829584830477,0.05000531452190521,6.687892921400624
scene0000_00,33,3,0,0,100,3,0.0939727126885338,0.038610610263486424,6.738471055268857
scene0000_00,44,4,0,0,100,4,0.08147185401360113,0.05569030089475796,7.214506892388135
scene0000_00,55,5,0,0,100,5,0.07940443469450309,0.05730030457247568,7.307465708961058
scene0000_00,67,6,0,0,100,6,0.08592900665693892,0.045367325446348895,7.24104409675354
scene0000_00,78,7,0,0,100,7,0.08990455131245145,0.045904768579852345,6.996281870956117
scene0000_00,89,8,0,0,100,8,0.09786029963644294,0.03050638557884196,7.455890425912111
scene0000_00,100,9,0,0,100,9,0.09467464535376269,0.027989477057155474,7.3544975974099716
scene0000_00,111,10,0,0,100,10,0.08617893960035061,0.0320278534955258,6.737198106432044
scene0000_00,122,11,0,0,100,11,0.09347358075303369,0.037012056494973244,5.838130946660239
scene0000_00,134,12,0,0,100,12,0.09502316033837666,0.025838423674138175,6.2783069815068275
scene0000_00,145,13,0,0,100,13,0.10075821243621164,0.02976029907977072,5.240027678329238
scene0000_00,156,14,0,0,100,14,0.09478753700684661,0.035520891578283226,5.439753721095357
scene0000_00,167,15,0,0,100,15,0.10937720332915235,0.01616460011042603,6.99723495199471
scene0000_00,178,16,0,0,100,16,0.10404636280210189,0.015359266569544134,6.563416347041682
scene0000_00,189,17,0,0,100,17,0.10254089843631586,0.03068813771823306,6.591327558712835
scene0000_00,201,18,0,0,100,18,0.09697245581015101,0.033860008019605425,6.495377112635273
scene0000_00,212,19,0,0,100,19,0.0963722829270327,0.020157324612688533,6.110670966831521
scene0000_00,223,20,0,0,100,20,0.09683346309732632,0.02903220108975057,6.7042110120079395
scene0000_00,234,21,0,0,100,21,0.0995837690433432,0.03617093421764011,6.5432486403871275
scene0000_00,245,22,0,0,100,22,0.11191178694635562,0.05150919252156227,6.800350438638719
scene0000_00,257,23,0,0,100,23,0.09769960248404153,0.06990326585500761,7.702659649817005
scene0000_00,268,24,0,0,100,24,0.0948805615759567,0.08692149455092466,8.033408864518336
scene0000_00,279,25,0,0,100,25,0.10000423336866249,0.10904860690243245,9.672752617357467
scene0000_00,290,26,0,0,100,26,0.10175455410954526,0.07499496951724509,6.617424059322596
scene0000_00,301,27,0,0,100,27,0.10545389678958994,0.06811825481496023,6.736689214455157
scene0000_00,312,28,0,0,100,28,0.11024958843726063,0.057430749546321894,5.650682588689196
scene0000_00,324,29,0,0,100,29,0.11055328844341306,0.04712084660726488,6.4813654849590785
scene0000_00,335,30,0,0,100,30,0.11196772951153589,0.013537109499931609,5.174540576282617
scene0000_00,346,31,0,0,100,31,0.1184919540991719,0.012988780184907253,5.070980361873118
scene0000_00,357,32,0,0,100,32,0.10007817291159293,0.012023276833560819,6.743875105049835
scene0000_00,368,33,0,0,100,33,0.10386450043647966,0.018740884426438884,6.8650017638801115
scene0000_00,379,34,0,0,100,34,0.1107561341603519,0.04498194434977559,4.710555195466793
scene0000_00,391,35,0,0,100,35,0.1229547800410753,0.058139021750063156,4.006849223177921
scene0000_00,402,36,0,0,100,36,0.12125750252451084,0.06177132098175495,4.234407560329041
scene0000_00,413,37,0,0,100,37,0.11470452939213471,0.02184147028804854,6.918689138386861
scene0000_00,424,38,0,0,100,38,0.12017353024564748,0.03450901407165035,8.752399188716879
scene0000_00,435,39,0,0,100,39,0.12531351274394198,0.055600504713265955,6.147787580995091
scene0000_00,447,40,0,0,100,40,0.12242398774240049,0.06774824194108577,5.235163146117976
scene0000_00,458,41,0,0,100,41,0.12966241868408868,0.07712227009361199,5.539829040148218
scene0000_00,469,42,0,0,100,42,0.12599095546507244,0.048578815265541406,6.637317711114964
scene0000_00,480,43,0,0,100,43,0.12475818842429809,0.0523965197373412,4.207077409931031
scene0000_00,491,44,0,0,100,44,0.1250994342195083,0.045089261157888846,3.496250985726268
scene0000_00,502,45,0,0,100,45,0.11959191957477033,0.013416420844029718,6.089577656200189
scene0000_00,514,46,0,0,100,46,0.13662440814683818,0.03330489473100548,3.099111648539875
scene0000_00,525,47,0,0,100,47,0.12609440917806203,0.040110913603023844,1.9717472734002965
scene0000_00,536,48,0,0,100,48,0.11081560127496926,0.0323799077939631,3.896592478012262
scene0000_00,547,49,0,0,100,49,0.11676422890690297,0.027384875828080184,3.6281095879888965
scene0000_00,558,50,0,0,100,49,0.11301721291974431,0.016838956203962745,3.8679793701759526
scene0000_00,569,51,0,0,100,48,0.11849780717173664,0.01973007295255237,3.525502996190624
scene0000_00,581,52,0,0,100,47,0.11111641925142002,0.0184306469245886,4.764115559961121
scene0000_00,592,53,0,0,100,46,0.13093350227016787,0.024818279583352195,2.947547431407541
scene0000_00,603,54,0,0,100,45,0.12143353074932528,0.023845048139523605,4.789375544539956
scene0000_00,614,55,0,0,100,44,0.12369701558463198,0.05772526553913653,6.439122502371491
scene0000_00,625,56,0,0,100,43,0.13627740064552296,0.04206924987766679,4.877481726860413
scene0000_00,637,57,0,0,100,42,0.14446571353863014,0.061092712099401494,5.012849405682142
scene0000_00,648,58,0,0,100,41,0.1603516423545137,0.03205610612286186,3.908386719617004
scene0000_00,659,59,0,0,100,40,0.18664879858858063,0.06238212859830935,7.710417045227073
scene0000_00,670,60,0,0,100,39,0.16272808920166282,0.02743279418174805,1.7172472194727433
scene0000_00,681,61,0,0,100,38,0.16249898001526597,0.023269287045012688,5.112085696939455
scene0000_00,692,62,0,0,100,37,0.14985798711872034,0.02996562921551934,3.7603135224460384
scene0000_00,704,63,0,0,100,36,0.1404219588556287,0.02291849382394146,2.188712210701318
scene0000_00,715,64,0,0,100,35,0.14816872914197088,0.03755676080865498,1.781777391932103
scene0000_00,726,65,0,0,100,34,0.15462629808869122,0.04141742442425561,2.0205994504776834
scene0000_00,737,66,0,0,100,33,0.14334874602574244,0.07688883955712343,2.482207016757228
scene0000_00,748,67,0,0,100,32,0.12219897309771877,0.029559122147159105,3.194614198522672
scene0000_00,759,68,0,0,100,31,0.11583738484017392,0.04699657116742864,5.131524905360461
scene0000_00,771,69,0,0,100,30,0.12116206835373444,0.022329431472168478,2.3304649920163234
scene0000_00,782,70,0,0,100,29,0.11674551753451112,0.009097197785406031,2.620652401760633
scene0000_00,793,71,0,0,100,28,0.10927849761371689,0.039066802528106466,2.5586466339452882
scene0000_00,804,72,0,0,100,27,0.11175485742059132,0.01778698368398768,2.9621194228617984
scene0000_00,815,73,0,0,100,26,0.1154473166579838,0.058200071888690155,4.21451954403764
scene0000_00,827,74,0,0,100,25,0.13361059706081013,0.0815071883983528,2.7241947927496595
scene0000_00,838,75,0,0,100,24,0.12957094422987725,0.04726653422338608,1.8838805842012043
scene0000_00,849,76,0,0,100,23,0.13566349584661463,0.01555848835395408,1.5768707119515326
scene0000_00,860,77,0,0,100,22,0.1573834995265101,0.05443178120075616,1.5843042086856427
scene0000_00,871,78,0,0,100,21,0.17270411858124535,0.038661634784545554,2.1399150307186474
scene0000_00,882,79,0,0,100,20,0.18761430737204077,0.03509372874227828,5.913853133529059
scene0000_00,894,80,0,0,100,19,0.18247478285280205,0.0519658805982389,8.919452224218212
scene0000_00,905,81,0,0,100,18,0.1763395239238017,0.04489464085438916,6.007719982586549
scene0000_00,916,82,0,0,100,17,0.17235738515103882,0.025523239348272237,5.592042861380563
scene0000_00,927,83,0,0,100,16,0.17383483431682034,0.01790321229615739,3.6222857769884578
scene0000_00,938,84,0,0,100,15,0.16644697297843358,0.043311607584616774,3.1977844987382498
scene0000_00,949,85,0,0,100,14,0.16613168432865477,0.09454280538143009,5.206831911235338
scene0000_00,961,86,0,0,100,13,0.15035422416101785,0.05643723237391799,5.166453049038427
scene0000_00,972,87,0,0,100,12,0.14785030693439416,0.044265083732528576,8.478835846920472
scene0000_00,983,88,0,0,100,11,0.1544287308021418,0.058172518740091606,6.536866082566635
scene0000_00,994,89,0,0,100,10,0.16482127115621026,0.06094416764067561,8.646860255649187
scene0000_00,1005,90,0,0,100,9,0.1596961820217625,0.0241242078193946,4.870573083823273
scene0000_00,1017,91,0,0,100,8,0.15865322625111067,0.029521206264380054,7.683856962428323
scene0000_00,1028,92,0,0,100,7,0.15944664767437133,0.03088993316513684,8.003755968712177
scene0000_00,1039,93,0,0,100,6,0.16051556844276682,0.031531528862135914,4.2537156606438415
scene0000_00,1050,94,0,0,100,5,0.16350134113349735,0.019611690432522207,6.513344992326011
scene0000_00,1061,95,0,0,100,4,0.16163873921990946,0.07382775423279118,9.46122899782285
scene0000_00,1072,96,0,0,100,3,0.16286243467372907,0.09278515636336347,8.749033867607436
scene0000_00,1084,97,0,0,100,2,0.1664638543781869,0.06424703796820556,6.256749362971942
scene0000_00,1095,98,0,0,100,1,0.1920818964168065,0.12207158936294077,9.092333476202056
scene0000_00,1106,99,0,0,100,0,0.20164350998183078,0.15619780858222557,11.684691926673107
scene0000_00,558,50,1,50,150,0,0.1938233422790947,0.11748287814761249,45.54579167773557
scene0000_00,569,51,1,50,150,1,0.20196000737218223,0.10877600154979825,46.24054710194663
scene0000_00,581,52,1,50,150,2,0.18567144556118764,0.14560707773657355,43.97338762020616
scene0000_00,592,53,1,50,150,3,0.20848101261548335,0.09154363089883234,46.12343704827104
scene0000_00,603,54,1,50,150,4,0.20010187124159495,0.09438843937845436,43.570314227413064
scene0000_00,614,55,1,50,150,5,0.19762966700370965,0.10406063335978682,41.64844746588522
scene0000_00,625,56,1,50,150,6,0.21908485424793578,0.09351289206344988,43.30366888362191
scene0000_00,637,57,1,50,150,7,0.23006343401711615,0.08965596099392813,43.68700411515188
scene0000_00,648,58,1,50,150,8,0.26230731644859906,0.13285442025296357,51.6387257882244
scene0000_00,659,59,1,50,150,9,0.2915124752585615,0.20119982560751393,56.066142589054735
scene0000_00,670,60,1,50,150,10,0.25658272933348014,0.20341153620183583,48.92137880506152
scene0000_00,681,61,1,50,150,11,0.2491904539647345,0.1572666258118746,43.65113896760229
scene0000_00,692,62,1,50,150,12,0.23752792818963497,0.15709648611307145,45.20245428336705
scene0000_00,704,63,1,50,150,13,0.24690611185312283,0.10490574854307974,48.34931478037998
scene0000_00,715,64,1,50,150,14,0.2464515131242535,0.03698888016575028,46.900886024626594
scene0000_00,726,65,1,50,150,15,0.2520314697649686,0.0270661680147783,46.85532319824121
scene0000_00,737,66,1,50,150,16,0.24594958262311772,0.07410402334576867,50.11592003474824
scene0000_00,748,67,1,50,150,17,0.2133742678289886,0.08844888939182845,45.172462665691974
scene0000_00,759,68,1,50,150,18,0.20479087989426947,0.1383739843330634,43.23479824090497
scene0000_00,771,69,1,50,150,19,0.2117737345557129,0.20436198609552378,46.4462853402165
scene0000_00,782,70,1,50,150,20,0.20320766067951557,0.2362088730396876,46.07649728842327
scene0000_00,793,71,1,50,150,21,0.19699889941223092,0.262013588164105,46.11532098120374
scene0000_00,804,72,1,50,150,22,0.20445015881916107,0.27613906854285497,45.999821670831615
scene0000_00,815,73,1,50,150,23,0.20636281937791257,0.20721035147869704,44.248018810226185
scene0000_00,827,74,1,50,150,24,0.2416864307922948,0.15410410271671723,50.32156033287459
scene0000_00,838,75,1,50,150,25,0.23220835164934917,0.1449111392372443,49.404166589701674
scene0000_00,849,76,1,50,150,26,0.23544711622429082,0.1292686862122214,47.82458601557469
scene0000_00,860,77,1,50,150,27,0.25449349792443,0.1200394867668499,47.94438160289698
scene0000_00,871,78,1,50,150,28,0.26603899597780245,0.09707828009130282,49.0054170061885
scene0000_00,882,79,1,50,150,29,0.2823754875619122,0.14535648064704504,52.70651959321683
scene0000_00,894,80,1,50,150,30,0.285216902486069,0.1990379743286341,56.291237977501154
scene0000_00,905,81,1,50,150,31,0.2733548705878146,0.28552015406998676,53.693500189631706
scene0000_00,916,82,1,50,150,32,0.2730263271629174,0.31820160826433397,52.861946898708
scene0000_00,927,83,1,50,150,33,0.2671925641823454,0.405889252646041,50.995587170918725
scene0000_00,938,84,1,50,150,34,0.25724185036804625,0.48865744868361116,50.531325794676654
scene0000_00,949,85,1,50,150,35,0.24851721903404578,0.5580166603418921,53.235672076668045
scene0000_00,961,86,1,50,150,36,0.23280302672190833,0.6628899083107238,53.035235095027325
scene0000_00,972,87,1,50,150,37,0.2353336272522879,0.6637871943380114,56.120219826525975
scene0000_00,983,88,1,50,150,38,0.23707950103618924,0.6162230268871522,53.755420582972086
scene0000_00,994,89,1,50,150,39,0.26384737391948054,0.6007155374496761,56.30145463370483
scene0000_00,1005,90,1,50,150,40,0.2538781418305507,0.5870784279007487,52.816107393363744
scene0000_00,1017,91,1,50,150,41,0.26429429596879306,0.5490940461346083,55.52034668091688
scene0000_00,1028,92,1,50,150,42,0.2700578487634301,0.5299330974252504,55.59171248882309
scene0000_00,1039,93,1,50,150,43,0.26369324436251973,0.46637471374821754,51.53848344455566
scene0000_00,1050,94,1,50,150,44,0.27913428411571495,0.3791988160498379,54.084557879423485
scene0000_00,1061,95,1,50,150,45,0.27801722432343445,0.266502054160217,57.19714347424328
scene0000_00,1072,96,1,50,150,46,0.273722429220405,0.2158869666698571,56.35137646131118
scene0000_00,1084,97,1,50,150,47,0.27360818530134123,0.23424797545214376,53.86800164189011
scene0000_00,1095,98,1,50,150,48,0.29850891408560065,0.14091944265278905,56.76384989773797
scene0000_00,1106,99,1,50,150,49,0.319260094882745,0.13670855236013887,60.019292636146005
scene0000_00,1117,100,1,50,150,49,0.3130366073749795,0.19099130354779245,59.700764905079346
scene0000_00,1128,101,1,50,150,48,0.30254900658446915,0.2620416529558236,58.30086484881958
scene0000_00,1139,102,1,50,150,47,0.2751953392489239,0.23779692982799708,46.85252891753689
scene0000_00,1151,103,1,50,150,46,0.32832613112861964,0.28247450962149256,57.82745286425924
scene0000_00,1162,104,1,50,150,45,0.2892534897757162,0.24961766022483797,47.93646102758345
scene0000_00,1173,105,1,50,150,44,0.3127549860867511,0.27817145329996373,50.64236381150705
scene0000_00,1184,106,1,50,150,43,0.3437988344546966,0.2668505678578381,53.97926579048837
scene0000_00,1195,107,1,50,150,42,0.28520775602842496,0.31945225595944,50.70858996094369
scene0000_00,1207,108,1,50,150,41,0.2561031722662439,0.3591109704289662,50.38364484663938
scene0000_00,1218,109,1,50,150,40,0.2815631771451439,0.3153752355051556,47.017769777954
scene0000_00,1229,110,1,50,150,39,0.27798767797733004,0.3763572793304188,56.42578397433702
scene0000_00,1240,111,1,50,150,38,0.32911388859290247,0.2802681477516268,61.02001347229789
scene0000_00,1251,112,1,50,150,37,0.30919923906098634,0.31261197587942385,59.79828534698913
scene0000_00,1262,113,1,50,150,36,0.3968026632032966,0.32916374814327687,88.81277275810378
scene0000_00,1274,114,1,50,150,35,0.4198472786908385,0.30076252363362865,92.07616882273672
scene0000_00,1285,115,1,50,150,34,0.3971174784260846,0.32333746652089224,85.76899355405199
scene0000_00,1296,116,1,50,150,33,0.4327748166246238,0.2742338892408162,88.62223226718972
scene0000_00,1307,117,1,50,150,32,0.46495801848122453,0.3040044917594811,98.63630336908963
scene0000_00,1318,118,1,50,150,31,0.28349463261060515,0.2746249182081601,54.518998892935684
scene0000_00,1329,119,1,50,150,30,0.2602914649023724,0.3273680807420339,46.491673737662374
scene0000_00,1341,120,1,50,150,29,0.3147004281852517,0.3284548638130195,46.86618213603035
scene0000_00,1352,121,1,50,150,28,0.39332020623971387,0.5866229746948849,42.43133101022839
scene0000_00,1363,122,1,50,150,27,0.46964241874949475,0.6465195095289664,24.038271821281217
scene0000_00,1374,123,1,50,150,26,0.4078804674834666,0.32866097516892206,26.720213992654628
scene0000_00,1385,124,1,50,150,25,0.4400599375769011,0.23175504981975922,42.74881339873147
scene0000_00,1397,125,1,50,150,24,0.39029142067439393,0.38113779306088863,28.530379642767844
scene0000_00,1408,126,1,50,150,23,0.4906349140632884,0.9065226497945185,51.62355026655008
scene0000_00,1419,127,1,50,150,22,0.5052747355967993,0.9787635299691357,69.06570923814337
scene0000_00,1430,128,1,50,150,21,0.5400211525816239,0.9169515828815061,111.15632677632749
scene0000_00,1441,129,1,50,150,20,0.3485953849605534,0.61590179022925,28.717777757971493
scene0000_00,1452,130,1,50,150,19,0.39489084845787126,0.795647347997422,32.86873944447283
scene0000_00,1464,131,1,50,150,18,0.3432861722039,0.40211971219864195,41.27919591794057
scene0000_00,1475,132,1,50,150,17,0.38897921298181015,0.43751009203671104,45.26833636856413
scene0000_00,1486,133,1,50,150,16,0.37871104292178503,0.2687703074277106,52.42086780260068
scene0000_00,1497,134,1,50,150,15,0.3565397380685875,0.3054106263081377,46.12800888191025
scene0000_00,1508,135,1,50,150,14,0.31744728974898495,0.48028363998415996,28.197236695627396
scene0000_00,1519,136,1,50,150,13,0.4624544172788476,0.8763182312523913,60.87626963847774
scene0000_00,1531,137,1,50,150,12,0.4445581584313636,0.8803831224979504,37.92021435397454
scene0000_00,1542,138,1,50,150,11,0.46352273656610543,0.9135975561958923,60.42831655358904
scene0000_00,1553,139,1,50,150,10,0.4024008663088793,0.6873081380692024,28.322844985128913
scene0000_00,1564,140,1,50,150,9,0.48717655796418946,0.8403840831394556,62.9530823410133
scene0000_00,1575,141,1,50,150,8,0.5881816776079887,0.6104422290959945,175.0302381127791
scene0000_00,1587,142,1,50,150,7,0.5425275531810294,0.7742078383023457,135.017681110872
scene0000_00,1598,143,1,50,150,6,0.5087741027706135,0.6876550144549535,82.65694832921302
scene0000_00,1609,144,1,50,150,5,0.3846311152271258,0.3836019640218888,22.556485931453036
scene0000_00,1620,145,1,50,150,4,0.4432494210310429,0.48303621862488233,30.911592634315298
scene0000_00,1631,146,1,50,150,3,0.45001991071899816,0.49352379196485174,31.93395704162878
scene0000_00,1642,147,1,50,150,2,0.3863165028161648,0.44396178158002403,10.824251553755468
scene0000_00,1654,148,1,50,150,1,0.48066485570601925,0.7503760402695533,79.41833476146107
scene0000_00,1665,149,1,50,150,0,0.5250593217284378,0.6068015444579382,161.7786934295622
scene0000_00,1117,100,2,100,200,0,0.6050113878916463,0.1092742161832483,166.84796459210745
scene0000_00,1128,101,2,100,200,1,0.62260892335025,0.12422761525708186,166.39579147323136
scene0000_00,1139,102,2,100,200,2,0.5671564681961894,0.1351190896415339,166.89639737205727
scene0000_00,1151,103,2,100,200,3,0.5867775870978296,0.21704135945289546,164.0918231523192
scene0000_00,1162,104,2,100,200,4,0.551669937058175,0.14505480705799675,165.28944572970633
scene0000_00,1173,105,2,100,200,5,0.570157113438382,0.18513399105187156,166.2979251523898
scene0000_00,1184,106,2,100,200,6,0.5690788720315049,0.18831981241714976,164.95543151502523
scene0000_00,1195,107,2,100,200,7,0.5489077770868647,0.3009822364594774,165.46959058967073
scene0000_00,1207,108,2,100,200,8,0.5322446378680656,0.35781818991259967,166.04199897450505
scene0000_00,1218,109,2,100,200,9,0.5299482962449874,0.3073451645081922,167.4130518174802
scene0000_00,1229,110,2,100,200,10,0.5452403566978525,0.3822251300243814,166.38771501714186
scene0000_00,1240,111,2,100,200,11,0.5697762840136344,0.26484322773314156,166.50071157190624
scene0000_00,1251,112,2,100,200,12,0.5794684722463228,0.3194352106225356,165.70822056796592
scene0000_00,1262,113,2,100,200,13,0.6602654357340347,0.31900985922126623,165.81501225042797
scene0000_00,1274,114,2,100,200,14,0.6590681476050819,0.27114072194663175,165.23840616542037
scene0000_00,1285,115,2,100,200,15,0.6445347638892308,0.2994942867726411,165.41650037589483
scene0000_00,1296,116,2,100,200,16,0.6555822595631396,0.2228882492705981,164.9668402777685
scene0000_00,1307,117,2,100,200,17,0.6986877463244642,0.23871533889616206,164.9445791740176
scene0000_00,1318,118,2,100,200,18,0.5696466411664954,0.20922402651781155,166.20993690508033
scene0000_00,1329,119,2,100,200,19,0.542544138973178,0.28614113714651745,166.02974893247105
scene0000_00,1341,120,2,100,200,20,0.5270923269735293,0.2606527860594551,165.26978254186608
scene0000_00,1352,121,2,100,200,21,0.5385447592293333,0.5177724988541889,164.5309653760519
scene0000_00,1363,122,2,100,200,22,0.5589973146870297,0.5857933420263807,163.70411296785912
scene0000_00,1374,123,2,100,200,23,0.4629459247919414,0.3646723741137941,165.2443826770929
scene0000_00,1385,124,2,100,200,24,0.4736495344109255,0.33061585392580023,167.37463633680542
scene0000_00,1397,125,2,100,200,25,0.43466460983258703,0.4465817722948256,166.07930713646223
scene0000_00,1408,126,2,100,200,26,0.5276646198465202,1.020936241148326,166.78418390627832
scene0000_00,1419,127,2,100,200,27,0.5574303671806926,1.1208547135037932,172.1081764580821
scene0000_00,1430,128,2,100,200,28,0.5722163509775698,1.0891686981651596,171.9419384964194
scene0000_00,1441,129,2,100,200,29,0.4166789216555338,0.6884408251308545,167.35639666120736
scene0000_00,1452,130,2,100,200,30,0.4517329314570986,0.8883071708020117,167.14962147360825
scene0000_00,1464,131,2,100,200,31,0.35314201956257807,0.5245416680007706,167.92905506693862
scene0000_00,1475,132,2,100,200,32,0.4141618788784214,0.5540142445919907,169.13371329756734
scene0000_00,1486,133,2,100,200,33,0.3893360540086177,0.39943401680652413,169.73156410412778
scene0000_00,1497,134,2,100,200,34,0.3528582683338086,0.3835518934716991,168.9714996084167
scene0000_00,1508,135,2,100,200,35,0.3729110090603993,0.48007105832113656,167.66809717641058
scene0000_00,1519,136,2,100,200,36,0.5140208366313824,1.0212027748445307,168.3640524858002
scene0000_00,1531,137,2,100,200,37,0.50849817061621,0.9356042883831059,164.93912787693532
scene0000_00,1542,138,2,100,200,38,0.5320576963977264,0.9955312160977929,164.07702544885254
scene0000_00,1553,139,2,100,200,39,0.4688212747627768,0.640163275908999,165.4814133865448
scene0000_00,1564,140,2,100,200,40,0.5294081374835258,0.8469993145872712,166.63837299055433
scene0000_00,1575,141,2,100,200,41,0.6137349129984541,0.7748698164278025,176.32321394818618
scene0000_00,1587,142,2,100,200,42,0.6276009705142895,0.9164185755523329,179.6932179686546
scene0000_00,1598,143,2,100,200,43,0.5386041667882697,0.6576493815231218,172.0010274268555
scene0000_00,1609,144,2,100,200,44,0.4258669647088562,0.19662922897294416,166.02561492827607
scene0000_00,1620,145,2,100,200,45,0.4940344742156203,0.29796278894155304,166.89925102431548
scene0000_00,1631,146,2,100,200,46,0.5024805920090806,0.3152478155320649,169.57855910895958
scene0000_00,1642,147,2,100,200,47,0.4476938026193248,0.26553725847274495,166.0208973993405
scene0000_00,1654,148,2,100,200,48,0.5342984099584571,0.7728047354074757,169.17804863264735
scene0000_00,1665,149,2,100,200,49,0.5962600695054661,0.7419940639345994,179.39926685994476
scene0000_00,1676,150,2,100,200,49,0.3603554120200331,0.1446218579155334,168.31040451054125
scene0000_00,1687,151,2,100,200,48,0.2574340671513782,0.12060347583086901,168.92197838979547
scene0000_00,1698,152,2,100,200,47,0.2276919088229088,0.1563754392797388,169.1156676892478
scene0000_00,1709,153,2,100,200,46,0.21007712999479977,0.20032979460590852,168.70363006314315
scene0000_00,1721,154,2,100,200,45,0.20822084431535148,0.1912131075347972,169.49006643903206
scene0000_00,1732,155,2,100,200,44,0.1956288114851109,0.17004779805284378,169.1644938160788
scene0000_00,1743,156,2,100,200,43,0.2247048325222032,0.1813612023971798,168.06994697526548
scene0000_00,1754,157,2,100,200,42,0.2266240478277186,0.1926626203276707,168.48537465032928
scene0000_00,1765,158,2,100,200,41,0.21799363040796904,0.22881250383826077,168.54904629604667
scene0000_00,1777,159,2,100,200,40,0.237271694126719,0.31568579986967105,169.53989006921447
scene0000_00,1788,160,2,100,200,39,0.24958367927639125,0.24790648403668464,170.65476721370354
scene0000_00,1799,161,2,100,200,38,0.25221516326140025,0.23703153515033082,170.2268950919834
scene0000_00,1810,162,2,100,200,37,0.23968398782118738,0.22305277242076604,171.35359789478755
scene0000_00,1821,163,2,100,200,36,0.24363748651406847,0.2802824849344023,170.8969525047217
scene0000_00,1832,164,2,100,200,35,0.24919034415100838,0.27495198805390947,170.85437634463662
scene0000_00,1844,165,2,100,200,34,0.22432888463114542,0.31552921844299836,169.94997311648027
scene0000_00,1855,166,2,100,200,33,0.2729460500492401,0.3105193188022751,168.70755744545693
scene0000_00,1866,167,2,100,200,32,0.29503989259615726,0.33526557727387046,167.5327530390804
