scene,frame_id,left_window_index,right_window_index,local_local_token_cosine,local_local_pose_translation,local_local_pose_rotation_deg
scene0000_00,558,0,1,0.09672243620223442,0.013969869352265574,0.17464896274725944
scene0000_00,569,0,1,0.09490918155640471,0.006603568105456417,0.29135968083656094
scene0000_00,581,0,1,0.09333227143881695,0.0069056838313964666,0.2815697849503864
scene0000_00,592,0,1,0.09260039872044579,0.008007986482291615,0.3165546148870418
scene0000_00,603,0,1,0.09062143415463786,0.005524368868200323,0.2918349704895062
scene0000_00,614,0,1,0.08972322146991796,0.008752685377433568,0.3827841926614549
scene0000_00,625,0,1,0.09012608312799364,0.010953851513991468,0.302200614391882
scene0000_00,637,0,1,0.08682047018750572,0.005629805312202445,0.2897615898488921
scene0000_00,648,0,1,0.08495919596429069,0.002334513974141574,0.31403631007608257
scene0000_00,659,0,1,0.08983329636539072,0.014483374075628715,0.40273020035971696
scene0000_00,670,0,1,0.09016768171120226,0.007759895847215069,0.2501204244750993
scene0000_00,681,0,1,0.0916954827657479,0.007183291787571011,0.20351713156526097
scene0000_00,692,0,1,0.08868327469161164,0.007598119250379419,0.6168700825486615
scene0000_00,704,0,1,0.08701704013971545,0.005970099421681319,0.5733072335151256
scene0000_00,715,0,1,0.08783059066406262,0.008616633340639572,0.4693047725602256
scene0000_00,726,0,1,0.08979655610926418,0.009685556363634816,0.47855110238956067
scene0000_00,737,0,1,0.0875589069663203,0.009735025199446546,0.3355834481610901
scene0000_00,748,0,1,0.08302288544526881,0.007755663862190567,0.6102844679310936
scene0000_00,759,0,1,0.07999404816913902,0.01163459463173591,0.6415073658914167
scene0000_00,771,0,1,0.07806679113371517,0.00586238980929903,0.7822294003832722
scene0000_00,782,0,1,0.07703078419645215,0.006784095654471541,0.6153421998743136
scene0000_00,793,0,1,0.07755826862993764,0.004303536470109412,0.6705452535812965
scene0000_00,804,0,1,0.0789325659611444,0.005226177893342085,0.7584247172798739
scene0000_00,815,0,1,0.08055394398659077,0.007168420026816682,0.6104747859258685
scene0000_00,827,0,1,0.08283743501521479,0.011132530521660392,0.5185928234315769
scene0000_00,838,0,1,0.08555835132163603,0.015952910387470327,0.3853510407852988
scene0000_00,849,0,1,0.0863792544065729,0.0071905888412012245,0.30849039352483165
scene0000_00,860,0,1,0.08750465080588699,0.006848278165850449,0.2896698379518168
scene0000_00,871,0,1,0.09098906633127812,0.007907439107434423,0.482395713434805
scene0000_00,882,0,1,0.09402323679766644,0.018007546695985328,0.5573678910212293
scene0000_00,894,0,1,0.09852852189653749,0.017680245375216272,0.4985985869626611
scene0000_00,905,0,1,0.10269633727246563,0.011896593406267603,0.30935567510228634
scene0000_00,916,0,1,0.10122057397902984,0.00248728111247172,0.4952749420883404
scene0000_00,927,0,1,0.10407012297408691,0.005586475314869579,0.35556355251123084
scene0000_00,938,0,1,0.10306471900206671,0.005193067886041792,0.4057479910824315
scene0000_00,949,0,1,0.10806068556097537,0.025998654665720235,0.26328575411973754
scene0000_00,961,0,1,0.10272013789503887,0.016143229294759476,0.18336232660395646
scene0000_00,972,0,1,0.10047751575155872,0.017031769194036827,0.6459600140976521
scene0000_00,983,0,1,0.09776206688987477,0.005864292484139461,1.0332884867055332
scene0000_00,994,0,1,0.10117579999738757,0.008952863774397567,0.7917106213543276
scene0000_00,1005,0,1,0.10453353898040851,0.005564582437150049,0.32856265683242436
scene0000_00,1017,0,1,0.1070810790568808,0.01538879338233623,0.33614780818590095
scene0000_00,1028,0,1,0.10557291157113546,0.013823642685135371,0.4422543190318565
scene0000_00,1039,0,1,0.1082150174975427,0.005890134774491062,0.42917779867541805
scene0000_00,1050,0,1,0.10768020187433214,0.014555977157513559,0.27313951863381913
scene0000_00,1061,0,1,0.10622350207225173,0.007449280525424482,0.5746551507724494
scene0000_00,1072,0,1,0.10315949233067956,0.008424815091368748,0.542802595163901
scene0000_00,1084,0,1,0.10183581059934887,0.007233502648539835,0.5988812446691638
scene0000_00,1095,0,1,0.10249920239707755,0.003765962046887559,0.36366015605346313
scene0000_00,1106,0,1,0.11091858759757245,0.007947752023654069,0.34126102764410876
scene0000_00,1117,1,2,0.22181518735343198,0.0069290190258740015,2.1024978987458285
scene0000_00,1128,1,2,0.22874220504875054,0.003928535954711344,2.0547841545911365
scene0000_00,1139,1,2,0.23499146816637628,0.010554198474973723,2.166599986068611
scene0000_00,1151,1,2,0.23776777861951626,0.017484644675535458,2.3789688122563044
scene0000_00,1162,1,2,0.2334179953177885,0.013936746759143104,2.36753794820862
scene0000_00,1173,1,2,0.2299453147980446,0.017002156420367454,2.406955153084462
scene0000_00,1184,1,2,0.22805540669053315,0.015461012056199602,2.583641921916169
scene0000_00,1195,1,2,0.22593004507450087,0.01633495830290825,2.372561335673545
scene0000_00,1207,1,2,0.22235223763874623,0.021476311295262385,2.516369878623946
scene0000_00,1218,1,2,0.22399070335375681,0.026190260799649888,2.545964197123963
scene0000_00,1229,1,2,0.22096677368280027,0.02359774962630074,2.5366397374370973
scene0000_00,1240,1,2,0.22018951334803005,0.028040624278662607,2.574287114193299
scene0000_00,1251,1,2,0.22701951657613728,0.02305168910220844,2.7030550139374427
scene0000_00,1262,1,2,0.22736994725254112,0.017357874893967784,2.366358812095719
scene0000_00,1274,1,2,0.22701315874502415,0.01954909172824509,2.5394375880701796
scene0000_00,1285,1,2,0.22535788522111044,0.025384527762874382,2.622309095277214
scene0000_00,1296,1,2,0.23008521939947113,0.025925181953769083,2.5149741586372407
scene0000_00,1307,1,2,0.22934620070394884,0.015460886726572138,2.370393131719264
scene0000_00,1318,1,2,0.2320848249510047,0.019723251774929677,2.269444461542908
scene0000_00,1329,1,2,0.23000795903425364,0.015731290789544067,2.0881280911341302
scene0000_00,1341,1,2,0.22591860403677355,0.012142547301050972,2.071749945086053
scene0000_00,1352,1,2,0.22905779484984,0.009596591491795902,2.316718950934831
scene0000_00,1363,1,2,0.2323329893778192,0.014612360007543571,2.302002400528293
scene0000_00,1374,1,2,0.23172401516524443,0.01743376177784368,2.3569177275511253
scene0000_00,1385,1,2,0.23091423180574822,0.016258342924475578,2.637458069154964
scene0000_00,1397,1,2,0.2347157679226154,0.008933674948520508,2.2470806723415886
scene0000_00,1408,1,2,0.23838132523473643,0.007779701087895001,2.1307052155303947
scene0000_00,1419,1,2,0.24157298682955086,0.01029992951456717,2.147309762717266
scene0000_00,1430,1,2,0.2487813564163316,0.009583582560924151,1.9776405701016082
scene0000_00,1441,1,2,0.25429955344417454,0.00737576550829625,2.00190166387254
scene0000_00,1452,1,2,0.24337491108199072,0.015179754125353977,2.730986877246703
scene0000_00,1464,1,2,0.24224650126591163,0.029325832312651498,3.376280612774339
scene0000_00,1475,1,2,0.23939435003902987,0.037340658724132704,3.475194101914708
scene0000_00,1486,1,2,0.23801256269568705,0.05948035535533364,4.807090497383579
scene0000_00,1497,1,2,0.24103800474697823,0.06224146458578968,4.97808110743578
scene0000_00,1508,1,2,0.24492251531240994,0.020644626382612608,3.5267458566494883
scene0000_00,1519,1,2,0.2514311431002585,0.022637647609480283,2.7000679549286084
scene0000_00,1531,1,2,0.24579520825963086,0.006317742707011579,1.6811578304789148
scene0000_00,1542,1,2,0.24897276885979824,0.004324869060762888,1.883732830016506
scene0000_00,1553,1,2,0.23534987801628726,0.006233859372140632,1.9440017013535476
scene0000_00,1564,1,2,0.2348465630787686,0.007194838215347579,2.343256586127485
scene0000_00,1575,1,2,0.244882284435197,0.020666539316707765,2.410118597644053
scene0000_00,1587,1,2,0.2395414606648889,0.021006720819585843,2.586086199353105
scene0000_00,1598,1,2,0.23656091872017537,0.013992346803822884,1.8990103733939228
scene0000_00,1609,1,2,0.2210273779726517,0.005766312836253693,3.4074331508225226
scene0000_00,1620,1,2,0.222214992318573,0.016346164182654627,3.8845822287833847
scene0000_00,1631,1,2,0.2196823375667567,0.02628330600440594,3.4107946931189304
scene0000_00,1642,1,2,0.22508109552039546,0.05582518970281717,4.560613660510714
scene0000_00,1654,1,2,0.24007211535340112,0.04894476852788967,2.677806584665999
scene0000_00,1665,1,2,0.26927045767682745,0.04831544285458431,2.4351011234800333
scene0000_00,1676,2,3,0.22959912347837474,0.022311234831512164,2.148865240040204
scene0000_00,1687,2,3,0.23061387878501793,0.020203962972100746,2.3228825731287728
scene0000_00,1698,2,3,0.22837315227518773,0.0196380328081177,2.3688696704302203
scene0000_00,1709,2,3,0.22131597083598153,0.02126355908186506,2.282018196050469
scene0000_00,1721,2,3,0.21691834481626437,0.016266504819882614,2.226067789840158
scene0000_00,1732,2,3,0.21664310597738368,0.018808998934392408,2.2353036018022707
scene0000_00,1743,2,3,0.2173859035881026,0.018936176375661435,2.04670630185133
scene0000_00,1754,2,3,0.21491280169044957,0.016722936872774374,1.9968285431599377
scene0000_00,1765,2,3,0.223657268420433,0.017973438271183563,1.8443648985325276
scene0000_00,1777,2,3,0.23365012345211644,0.014066231809235096,2.057494739000422
scene0000_00,1788,2,3,0.22915319558946767,0.017736886783090537,2.4358073166509837
scene0000_00,1799,2,3,0.22931845958499497,0.009740910129578128,2.237915207882322
scene0000_00,1810,2,3,0.22605719043806327,0.01151925818430438,2.403155459389762
scene0000_00,1821,2,3,0.2237431605010315,0.009564558275226875,2.2643597014570584
scene0000_00,1832,2,3,0.221991328970487,0.01035659874308802,2.4002520590069327
scene0000_00,1844,2,3,0.23048126740064867,0.006006836947387575,2.017834161033643
scene0000_00,1855,2,3,0.22746039472831714,0.0049201319070039055,2.0507782593160004
scene0000_00,1866,2,3,0.22791931906669427,0.020600236639169274,2.515487245959935
scene0000_00,1877,2,3,0.22826068613177886,0.020116638883208946,2.742257282356308
scene0000_00,1888,2,3,0.2231212497765649,0.011760733875746311,2.3560370805656565
scene0000_00,1899,2,3,0.21984444553449634,0.00818431192794858,2.304332769218376
scene0000_00,1911,2,3,0.2213224503705904,0.007766130031793637,2.000842081446886
scene0000_00,1922,2,3,0.22333326116369934,0.01591610102335744,2.4065459322084024
scene0000_00,1933,2,3,0.2174898053522223,0.01744362815441652,2.351278884374385
scene0000_00,1944,2,3,0.22197067603817344,0.016104450375895602,2.3148145682176877
scene0000_00,1955,2,3,0.22312504025441204,0.017354989484098124,2.1763551723977104
scene0000_00,1967,2,3,0.22196993869267068,0.017334537078466945,2.3317120530619886
scene0000_00,1978,2,3,0.2255510643467169,0.012626723016594373,2.066900941353265
scene0000_00,1989,2,3,0.22255610212531152,0.01955340425730523,2.5003718076097012
scene0000_00,2000,2,3,0.22432385114875242,0.01640895733990233,2.420665371314334
scene0000_00,2011,2,3,0.23502486382418497,0.0160329015852319,2.169935642629914
scene0000_00,2022,2,3,0.2486454476963924,0.015192620765180477,2.4319937580282267
scene0000_00,2034,2,3,0.2482689979779349,0.010785025704369925,2.7586808300452104
scene0000_00,2045,2,3,0.419469593531116,0.011405348270391137,3.19877527564183
scene0000_00,2056,2,3,0.4523697206048869,0.01467427223330141,3.034861432592156
scene0000_00,2067,2,3,0.4922751988875783,0.017883673071856076,3.586459729260712
scene0000_00,2078,2,3,0.5110483407889838,0.021562334262557697,3.9579966299649914
scene0000_00,2089,2,3,0.5097100377789652,0.020849884192901087,3.073321449950282
scene0000_00,2101,2,3,0.5228280551182249,0.02087668149242946,3.1622388640225654
scene0000_00,2112,2,3,0.5451706162135209,0.022098361072742278,4.227908955772142
scene0000_00,2123,2,3,0.5678437158752938,0.03182784314159014,2.74665453005181
scene0000_00,2134,2,3,0.5723443399376931,0.014626906553059961,2.2429311844265447
scene0000_00,2145,2,3,0.5631877169872239,0.019556775456130496,2.9623242042807725
scene0000_00,2157,2,3,0.5383200542263484,0.012769564753899464,2.638519952679775
