partition,scene,frame_count,window_count,global_translation_error_aligned_mean,independent_local_translation_error_aligned_mean,sequential_stitched_translation_error_aligned_mean,global_anchored_translation_error_aligned_mean,global_rotation_error_aligned_deg_mean,independent_local_rotation_error_aligned_deg_mean,sequential_stitched_rotation_error_aligned_deg_mean,global_anchored_rotation_error_aligned_deg_mean,sequential_scale_min,sequential_scale_max,sequential_minus_global_translation,global_anchored_minus_global_translation,sequential_minus_global_rotation_deg,global_anchored_minus_global_rotation_deg,translation_hybrid_translation_error_aligned_mean,translation_hybrid_rotation_error_aligned_deg_mean,translation_hybrid_minus_global_translation,translation_hybrid_minus_global_rotation_deg
calibration,scene0000_00,500,9,1.206868880334796,0.09766962135868687,0.281137645640053,0.9760654285226315,36.63105045899602,3.307972155451761,8.408299798472374,84.96920526499098,0.8665578101339235,1.8979859943393258,-0.925731234694743,-0.23080345181216455,-28.222750660523648,48.338154805994954,0.9760654285226317,38.702994068809836,-0.23080345181216433,2.0719436098138146
calibration,scene0013_02,500,9,0.04150723558033774,0.022406912842384948,0.0702790906578432,0.04168745800130298,1.845606194728002,2.251227823631737,3.544938022872764,2.171096495590215,0.6339569560249797,1.4809136350631724,0.02877185507750546,0.00018022242096524255,1.6993318281447618,0.325490300862213,0.04168745800130306,1.8527716031619603,0.00018022242096531887,0.007165408433958298
calibration,scene0029_01,500,9,0.02547872908384678,0.01755953945147288,0.05918336037949076,0.023121576798595066,4.002499974225572,7.100141000180954,9.374662715183785,8.134782804884445,0.7726862920187075,1.0359694247326046,0.03370463129564398,-0.0023571522852517124,5.372162740958213,4.132282830658873,0.023121576798595066,3.916336734989897,-0.0023571522852517124,-0.08616323923567437
calibration,scene0084_01,500,9,0.05628573637423508,0.028464584667759467,0.08397936442387044,0.049250555934659684,1.6376104654717265,4.292914399651549,10.50731409656051,4.425424286858916,1.105560003088694,1.6665913898375428,0.027693628049635356,-0.007035180439575399,8.869703631088782,2.7878138213871893,0.0492505559346597,1.7617325673562083,-0.007035180439575385,0.1241221018844818
calibration,scene0121_01,500,9,0.07658491040121401,0.03803493292038625,0.09241799168825025,0.06665882405074612,3.5687147751219253,6.913117347113486,10.79459754618261,6.950243089081558,0.6422949876999605,0.9566195715693357,0.01583308128703624,-0.009926086350467891,7.225882771060684,3.3815283139596324,0.06665882405074616,3.5687407248706706,-0.00992608635046785,2.5949748745368595e-05
calibration,scene0207_01,500,9,0.12945571930951197,0.0644380156849862,0.20303392784324012,0.12319512968993512,3.413595551888921,6.259236754463051,7.176086823917952,5.0350422192443895,0.8232404712908022,1.5409124549352733,0.07357820853372815,-0.006260589619576845,3.762491272029031,1.6214466673554684,0.12319512968993514,3.41749475003384,-0.006260589619576831,0.003899198144918792
calibration,scene0280_00,500,9,0.0898419178747773,0.07715587929852308,0.20596190395938127,0.09516524987743574,4.845439900855779,6.5612482337282145,8.97536123906286,5.841876275946016,0.6552297629012789,0.9974810437992739,0.11611998608460397,0.005323332002658443,4.1299213382070805,0.9964363750902372,0.09516524987743573,4.880913821869272,0.005323332002658429,0.03547392101349267
calibration,scene0325_01,500,9,0.0675141840462579,0.022840610601713402,0.11236689756262123,0.05700290846017567,3.4721781858931324,4.274424858997574,4.4128511410370175,6.2409602688045,0.7184437713446163,1.1018822151671464,0.04485271351636333,-0.010511275586082232,0.940672955143885,2.7687820829113674,0.05700290846017557,3.492124718100649,-0.010511275586082336,0.019946532207516743
calibration,scene0675_00,500,9,0.09205588204630032,0.05242948959883228,0.12080081390425111,0.09611373486176597,1.9343966338619025,13.047806851026836,8.342671236142538,4.497457060464773,0.8960177564552452,1.3765880144850917,0.028744931857950795,0.004057852815465654,6.408274602280635,2.56306042660287,0.09611373486176596,2.0825862644562334,0.00405785281546564,0.14818963059433088
calibration,scene0691_00,500,9,0.11857599450582348,0.04755762395025276,0.09142335123358321,0.09644941346345007,4.458770964582007,9.139160727896666,8.761761583351397,5.969843520250634,0.4446929184521125,0.9699189699428463,-0.027152643272240276,-0.022126581042373417,4.302990618769391,1.511072555668627,0.0964494134634501,4.600111025640538,-0.02212658104237339,0.14134006105853114
holdout,scene0042_02,500,9,0.043959245071741336,0.019206144515601816,0.09151573907599518,0.04210669012140495,4.069162933098401,3.682109107084161,7.107347707616045,4.412450462676203,0.861754505147104,1.1984734050962778,0.047556494004253845,-0.0018525549503363853,3.038184774517644,0.3432875295778022,0.04210669012140494,4.198548122054797,-0.0018525549503363992,0.1293851889563964
holdout,scene0056_00,500,9,0.16728961356977032,0.07907174383546546,0.252636837509811,0.16420255947044235,3.3682168823732734,8.510951470083972,6.682991757734056,4.799815822168118,0.9419809090122352,1.3390390571575421,0.08534722394004066,-0.0030870540993279683,3.314774875360783,1.4315989397948448,0.16420255947044252,3.363674307353767,-0.0030870540993278017,-0.004542575019506501
holdout,scene0071_00,500,9,0.08471072866420527,0.035521372928420614,0.23125498933951633,0.07140332847035911,6.79382808898455,13.691675820165925,21.500961067958666,8.406308053451964,0.6077646406546063,1.440839324361495,0.14654426067531107,-0.013307400193846158,14.707132978974116,1.612479964467414,0.07140332847035898,6.7940968009138745,-0.013307400193846297,0.0002687119293245388
holdout,scene0096_00,500,9,0.06742837318702084,0.03243814452604874,0.1816369339087779,0.059286858595599845,1.822123555596897,4.040789759805293,11.019334693747297,7.564703084000985,0.6736004120707587,1.0914577599081736,0.11420856072175704,-0.008141514591420998,9.197211138150399,5.742579528404088,0.05928685859559984,1.7942182582576496,-0.008141514591421005,-0.027905297339247515
holdout,scene0109_00,500,9,0.046473478917500435,0.023678958379776304,0.12006770279519821,0.03626391965976159,2.332870779907713,3.7076853060147825,8.74419400446476,3.936513832292297,0.6488700883144498,1.1687078623129155,0.07359422387769778,-0.010209559257738844,6.411323224557046,1.6036430523845842,0.03626391965976159,2.3358820488530716,-0.010209559257738844,0.003011268945358747
holdout,scene0136_01,500,9,0.03764361765865466,0.014775348557582434,0.027718052680178594,0.03374661916283719,1.8671090427989803,4.263028338118384,4.072907288133499,3.507794423956613,0.554514059306507,1.0466923037457527,-0.009925564978476069,-0.003896998495817476,2.2057982453345186,1.6406853811576327,0.0337466191628371,1.9522162432652732,-0.0038969984958175594,0.08510720046629294
holdout,scene0150_00,430,8,0.01520094300226597,0.010789357144974752,0.03015758056502976,0.015443110726325619,2.7236275236234975,3.5752648158517872,3.911199958831048,3.0742181455902524,0.9248048929865095,1.639897540630063,0.014956637562763789,0.00024216772405964877,1.1875724352075507,0.35059062196675495,0.015443110726325636,2.799168789230009,0.00024216772405966612,0.07554126560651131
holdout,scene0164_01,500,9,0.06896287680798377,0.026535153250398905,0.07975619061043039,0.06206013750312192,5.129477640846382,10.176583382471986,12.196195067259294,6.566882617373194,0.8693192805562766,1.0726871975682954,0.010793313802446622,-0.006902739304861849,7.066717426412913,1.4374049765268122,0.06206013750312193,4.731415665043456,-0.006902739304861842,-0.3980619758029258
holdout,scene0177_01,500,9,0.0834205510204927,0.041532918732126306,0.09078246569029624,0.08225840790129081,2.746078591529271,8.357690294942902,5.239397234972128,4.825704237626086,0.7558773725823176,1.9199688332357279,0.007361914669803543,-0.0011621431192018888,2.493318643442857,2.0796256460968148,0.08225840790129087,2.6785066903432764,-0.0011621431192018333,-0.06757190118599476
holdout,scene0194_00,500,9,0.049776326299068176,0.058471714188282946,0.11241171243628384,0.06485495157413705,3.9399053103962505,7.66677716258012,14.533022178915862,7.474550656759047,0.8605815746643599,1.8844088011311606,0.06263538613721567,0.015078625275068876,10.593116868519612,3.5346453463627965,0.06485495157413705,4.121296698276079,0.015078625275068876,0.18139138787982834
holdout,scene0221_01,500,9,0.12103673251825012,0.05390026726368626,0.4261251842217266,0.10754534851352493,5.560825109361831,9.692385431801505,40.823933007084776,7.744709078229665,1.1380392486626962,2.3210781271165297,0.30508845170347654,-0.013491384004725188,35.263107897722946,2.1838839688678338,0.10754534851352503,5.533579614473459,-0.01349138400472509,-0.027245494888371802
holdout,scene0238_00,500,9,0.08497894354523615,0.05623986181206496,0.14610829690571223,0.08166010294913238,4.041086600180262,20.305417998372228,28.872558196356664,10.265523104224062,0.4825130977485155,1.1445555180595666,0.06112935336047608,-0.003318840596103767,24.831471596176403,6.2244365040438,0.08166010294913238,4.190428324709125,-0.003318840596103767,0.1493417245288633
holdout,scene0254_01,500,9,0.09351570631091877,0.029953900488199254,0.06501664842504955,0.0735503771708437,6.645037821403873,3.5384979700025276,4.43766457618251,8.963119497321218,1.0371618974985397,1.834279801813212,-0.02849905788586922,-0.019965329140075067,-2.207373245221363,2.3180816759173446,0.07355037717084364,6.9777025266665476,-0.019965329140075122,0.33266470526267433
holdout,scene0267_00,500,9,0.1212016303211814,0.04020743122672756,0.11584243407159397,0.11252251020437723,4.9686829866156845,20.262549696474014,16.70129321125658,16.98972671411521,0.8734082198633881,1.4052956093495845,-0.005359196249587431,-0.008679120116804176,11.732610224640895,12.021043727499526,0.11252251020437723,4.822876951891141,-0.008679120116804176,-0.14580603472454357
holdout,scene0294_02,500,9,0.10247611605096642,0.07268217441985216,0.22629760634880927,0.09463725418992427,2.5954002200097883,3.6775697108592342,15.950024989884435,3.979231920940607,1.0160834571904973,1.814042502645191,0.12382149029784285,-0.007838861861042143,13.354624769874647,1.3838317009308185,0.09463725418992427,2.550455163231967,-0.007838861861042143,-0.044945056777821346
holdout,scene0309_00,500,9,0.15483805143711232,0.08552317206741461,0.15476575337713594,0.14197984111958095,3.8264821612040887,10.218613918130435,18.152264206762773,15.147667630433808,0.6890279113727503,1.169055068498268,-7.229805997638339e-05,-0.012858210317531371,14.325782045558684,11.32118546922972,0.141979841119581,3.728897486196895,-0.012858210317531316,-0.09758467500719359
holdout,scene0340_01,500,9,0.04787088113907598,0.02749222659688887,0.05647130356874895,0.04602431950548496,2.823270546359049,5.218740444765651,5.784135453211504,4.152048955151531,0.8584397535595114,1.0749256052615468,0.008600422429672974,-0.0018465616335910165,2.960864906852455,1.3287784087924819,0.046024319505484926,2.7975770885543763,-0.0018465616335910512,-0.025693457804672803
holdout,scene0353_02,500,9,0.12510247634805985,0.03961690118912507,0.18308867049761693,0.10135725875885065,5.716994911146183,5.615361799275975,16.69195528055087,6.859259362259505,1.0337458458351727,1.598616577982173,0.05798619414955708,-0.023745217589209194,10.974960369404688,1.1422644511133218,0.10135725875885067,5.800219592841378,-0.02374521758920918,0.08322468169519492
holdout,scene0367_01,500,9,0.0808255291370043,0.031167331126063198,0.09867831413177049,0.08050624450149252,4.050850512957261,7.417298878539206,18.17213315364931,7.716271658033531,0.7917605418473197,0.9600646665729734,0.017852784994766183,-0.0003192846355117851,14.121282640692048,3.6654211450762695,0.0805062445014925,4.023973872897572,-0.000319284635511799,-0.026876640059689372
