scene,group,set,camera_center_displacement_mean,rotation_change_deg_mean,fov_change_mean,aligned_translation_error_mean,aligned_translation_error_delta
scene0042_02,translation,selected,0.10368733693471303,5.771225536315413,0.06497575695779155,0.13011864394606482,0.08615939887432345
scene0042_02,translation,controls,0.0072084750312727455,0.8686311246207813,0.023941230726031913,0.04519908747100496,0.0012398423992635993
scene0042_02,rotation,selected,0.07979747495567346,11.042346784712795,0.15305397806067064,0.13316117633152028,0.0892019312597789
scene0042_02,rotation,controls,0.010095763213504878,0.6095977352723908,0.05799345442437869,0.04388572585118277,-7.351922055859328e-05
scene0042_02,fov,selected,0.038944340203745285,3.0596373284534937,0.3106972730353819,0.0669566749181736,0.022997429846432237
scene0042_02,fov,controls,0.019596073038287344,1.2488307954456654,0.027890200229710296,0.048983161628486045,0.005023916556744681
scene0056_00,translation,selected,0.3214399036866834,7.096423605247008,0.03611226940232632,0.39171918260189953,0.22442956903212885
scene0056_00,translation,controls,0.013486469306747465,1.1076704928833296,0.020172791803424173,0.17968436304212573,0.012394749472355054
scene0056_00,rotation,selected,0.12244424886948843,10.489710707927875,0.16333682017778675,0.3593438468187525,0.1920542332489818
scene0056_00,rotation,controls,0.02554950384314946,0.7261902058744987,0.06260406663510779,0.16229420081758286,-0.004995412752187817
scene0056_00,fov,selected,0.06291321823776173,3.235183484415361,0.3932393010376588,0.1911313584004552,0.02384174483068452
scene0056_00,fov,controls,0.033389423311685616,1.3012982364154637,0.02158148223405626,0.19289236766513487,0.025602754095364194
scene0071_00,translation,selected,0.272330957196064,8.74693902411862,0.03725624958090603,0.40120580533639894,0.3164950766721936
scene0071_00,translation,controls,0.013074562889164578,1.3570780466728078,0.02192440365508494,0.09068250170304182,0.005971773038836517
scene0071_00,rotation,selected,0.19984845875832485,13.222804544957787,0.16511284589566208,0.4687899137930035,0.3840791851287982
scene0071_00,rotation,controls,0.0206091249321783,0.6496132548290798,0.07277127808809002,0.0919897224308777,0.007278993766672404
scene0071_00,fov,selected,0.07961149858342824,4.347338503847984,0.4168087777793635,0.2076964883970216,0.1229857597328163
