scene,short_frames,long_frames,shared_frame_count,token_cosine_distance_mean,token_cosine_distance_p95,token_pairwise_affinity_drift,aligned_center_drift_mean,translation_error_change_mean,rotation_error_change_mean_deg,delta_norm_change_mean,token_translation_error_change_pearson,delta_translation_error_change_pearson
scene0000_00,25,50,4,0.0030849762548334214,0.003641784696218586,0.009280046976304065,0.46718099878449826,-0.35126808644987173,-2.4244550654359998,4.8656984290573746e-05,0.4540145247144015,0.6011721367815022
scene0000_00,25,100,6,0.0062849799780230935,0.008889355646988867,0.010406558599090376,0.38083980840613535,-0.2637904569382797,-0.652239372996198,-4.3881620513275266e-05,0.27242652839045967,-0.7567555448250238
scene0000_00,25,200,10,0.06574637434639088,0.3057996920161132,0.06010941193352787,0.9992773827650968,-0.8372263122863789,-10.83542588777547,-0.00013845483990735375,-0.9831551634444553,0.9290421776121165
scene0000_00,25,500,25,0.20403058156368611,0.47365267752145157,0.15822189800168995,0.8722128223317297,0.4727094320795704,29.13663944212988,0.00551157297246391,0.2886017786319035,0.28659638525032655
scene0000_00,50,100,12,0.0015712123564142848,0.0018333580924370873,0.001619558393448279,0.03726848193885767,-0.010717341882896978,1.1557281261929677,-6.802677004695094e-05,0.11874032470276816,0.7467124633976022
scene0000_00,50,200,34,0.007806142485742681,0.015438726941788255,0.010879113877052074,0.061224306251476526,0.026517433940635368,1.3698842585233346,-2.6685635983834372e-05,0.24848288448409606,-0.2893492000421195
scene0000_00,50,500,50,0.19041125980954,0.45620528814150707,0.1546996001967455,1.169346694043699,1.0706095980776629,34.64915546411371,0.005070735760091339,0.4894591073623099,0.5170019846128112
scene0000_00,100,200,50,0.004342178190772445,0.01298121824631185,0.011146048402530645,0.05830458813362718,0.020388985562260126,1.0099352464115023,8.620534572401084e-05,0.5033885940513148,0.20303690149859768
scene0000_00,100,500,100,0.18626545425985713,0.4577809432906263,0.15789719666899138,1.151392410033174,1.0468047750091973,33.99372380812983,0.004877654822194017,0.4609705375868409,0.5479885302571051
scene0000_00,200,500,200,0.17420960718565773,0.4138938814889079,0.15364535206376187,1.177322154706818,1.0547971091727937,31.786318842254676,0.005234022649710823,0.4734554389005178,0.5822369169803903
scene0013_02,25,50,4,0.0008058785412360936,0.00089653190506499,0.0002748115938958143,0.010324250014345627,-0.003931047835589452,-0.2316909299759302,1.6383644833695143e-05,-0.17705815683833342,0.4462401036663745
scene0013_02,25,100,6,0.0018162520609202686,0.00205647501568057,0.002634683646848761,0.008867038675490392,-0.002275750150535747,-0.11587049649539176,4.7180352945967265e-05,0.2174734954294937,0.5505227836792973
scene0013_02,25,200,10,0.00373984719931012,0.004300451559908197,0.005619673962825701,0.011072583175791417,-0.0038210127539804414,-0.06375399282054331,2.4583792401244865e-05,0.2521619512515913,0.4084380941683715
scene0013_02,25,500,25,0.009636356202152476,0.012019289705882218,0.010907947289855155,0.013775320372606741,-0.00028506961155794067,0.05925654154466625,-6.254716427065433e-05,0.2375845110494833,0.16560679991354557
scene0013_02,50,100,12,0.0005750952481061907,0.0008300034004199816,0.0018103608179528552,0.0070410079778178885,0.0010580425211320203,0.09262160964829767,2.1553666859593552e-05,-0.44409033621122523,-0.05250943266620821
scene0013_02,50,200,34,0.0017989128387334182,0.0021291303828432193,0.0049539457814138385,0.00738739735509157,0.00014725332894949868,0.09165339744915917,-2.0095744035001297e-05,0.07478946043894467,-0.017365388166249954
scene0013_02,50,500,50,0.00680758175569298,0.008881996159939636,0.009865053284748695,0.01357164082217971,0.0012676313876677531,0.20078353336757457,-8.835105909383855e-05,0.020048288955430284,-0.08582757753619805
scene0013_02,100,200,50,0.0004972154670565798,0.0005772160845238239,0.002962107688430285,0.005004835933427452,-0.0010782597265349809,0.0296134857834358,-2.9137827368685976e-05,0.10706696669034418,0.11915788592599684
scene0013_02,100,500,100,0.004202778669060044,0.005724601144093505,0.006988484531717963,0.010383929437824044,8.758751865514062e-05,0.16262805560148305,-0.0001142866976078949,0.057990245426006816,-0.011501856444385582
scene0013_02,200,500,200,0.0020196698964966126,0.002848459980778617,0.004631725967960875,0.007228793258557277,0.0009653123841182004,0.12363596302454738,-7.526828730988199e-05,0.0417001733312187,-0.13227726198036813
