scene,short_frames,long_frames,frame_id,token_cosine_distance,aligned_center_drift,aligned_rotation_drift_deg,translation_error_short,translation_error_long,translation_error_change,rotation_error_short_deg,rotation_error_long_deg,rotation_error_change_deg,delta_norm_short,delta_norm_long,delta_norm_change
scene0000_00,25,50,0,0.0027343486677239293,0.5666257435433933,4.844033787871184,0.5944861633258002,0.04712602151716856,-0.5473601418086316,4.106591382064081,1.2870083781539121,-2.819583003910169,0.00018818692478816956,0.0002449577732477337,5.677084845956415e-05
scene0000_00,25,50,223,0.0036795173246142454,0.49433830378153926,5.113761821941122,0.537286142942257,0.07420881697488392,-0.46307732596737305,5.311450270410942,1.5671371598927895,-3.744313110518153,0.00013725337339565158,0.0001337948051514104,-3.458568244241178e-06
scene0000_00,25,50,5342,0.0034279664686431843,0.27227377715194606,3.804657114779071,0.16321103502068462,0.23931135670335904,0.07610032168267442,2.8231159277379,2.1464190749737275,-0.6766968527641724,0.0001432526478311047,0.00022936401364859194,8.611136581748724e-05
scene0000_00,25,50,5577,0.0024980725583523267,0.5354861706611143,4.877175445939136,0.5361974364966523,0.06546223679049548,-0.47073519970615685,4.613419669928802,2.156192375377297,-2.4572272945515046,0.00011184201866853982,0.0001670463097980246,5.520429112948477e-05
scene0000_00,25,100,0,0.005557656983609771,0.5545807123609652,5.299516234084181,0.5944861633258002,0.04797314445821819,-0.546513018867582,4.106591382064081,2.638133415552673,-1.4684579665114077,0.00018818692478816956,0.0002444039564579725,5.6217031669802964e-05
scene0000_00,25,100,223,0.005753852068445697,0.45849919676485,5.428886060970326,0.537286142942257,0.09168168526514851,-0.44560445767710843,5.311450270410942,3.156478582806649,-2.1549716876042933,0.00013725337339565158,0.00014181286678649485,4.559493390843272e-06
scene0000_00,25,100,1855,0.005681568532145853,0.2945439230102425,4.600676022342915,0.2598575107780756,0.27801038729013805,0.018152876512062432,1.9171437920915302,4.297387693136144,2.3802439010446133,0.0006092338589951396,0.00040420214645564556,-0.00020503171253949404
scene0000_00,25,100,3710,0.009885446986293345,0.19786474573385054,2.194358571844376,0.18525838153802332,0.01373729701952513,-0.17152108451849818,4.680943630774544,3.2324153998138603,-1.4485282309606835,0.00042317662155255675,0.00032073413603939116,-0.00010244248551316559
scene0000_00,25,100,5342,0.005901081629075433,0.2608325441216165,3.6464786479603095,0.16321103502068462,0.21292893761745307,0.04971790259676845,2.8231159277379,2.6009045268966604,-0.22221140084123947,0.0001432526478311047,0.00011608636123128235,-2.7166286599822342e-05
scene0000_00,25,100,5577,0.004930273668568463,0.5187177284452876,5.204278275840163,0.5361974364966523,0.04922247682133182,-0.48697495967532045,4.613419669928802,3.6139088168246243,-0.9995108531041774,0.00011184201866853982,0.00012241625518072397,1.0574236512184143e-05
