scene,iteration,unit,projected_translation,measured_translation,translation_relative_error,projected_rotation,measured_rotation,rotation_relative_error,projected_fov,measured_fov,fov_relative_error
scene0042_02,0,120,0.02187311944828941,0.021840253844857216,0.0015025567573885004,2.03115829582387,2.9640023708343506,0.3147244699227046,0.030104541083408664,0.029342371970415115,0.0253174134387851
scene0042_02,1,273,4.995849625788835e-05,4.990216257283464e-05,0.0011276097015192942,0.0014749716664524551,0.18312226235866547,0.9919454268014471,0.0010649388104331846,0.0010943488450720906,0.026874460343555815
scene0042_02,2,991,1.6585889140251895e-05,1.76588127942523e-05,0.06075853832878425,0.0015292263565858098,0.13393500447273254,0.9885823249672034,9.352918913749827e-05,9.605733066564426e-05,0.026319089970820927
scene0042_02,3,991,2.0781112056265555e-05,2.0878900613752194e-05,0.00468360663694277,0.0017303945479027279,0.15556654334068298,0.9888768207434343,0.00014066661614374926,0.0001406860101269558,0.0001378529619899386
scene0056_00,0,120,0.05460562804800926,0.054075129330158234,0.009715092323168804,2.5750284034184494,3.7366654872894287,0.31087532127839174,0.025923514490532845,0.025413013994693756,0.019692565065802387
scene0056_00,1,273,5.7795546440987916e-05,6.02663385507185e-05,0.0409978798969384,0.0021595463852086523,0.15938344597816467,0.9864506230747169,0.0009847550641941618,0.0009937279392033815,0.00902950863635048
scene0056_00,2,991,3.757720243348796e-05,3.856281909975223e-05,0.02555872960726067,0.0017159243641557775,0.18605946004390717,0.9907775484044141,0.0001160577660046622,0.00011755218292819336,0.012712796022205956
scene0056_00,3,991,3.86556612483043e-05,3.891059532179497e-05,0.006551790621097808,0.0017002253272615567,0.1744481325149536,0.9902536914396844,0.00014776695848430193,0.00014777221076656133,3.554309861206002e-05
scene0071_00,0,120,0.03686381594653566,0.036282122135162354,0.015779533302166696,1.812054589061379,2.3850460052490234,0.24024333909140597,0.01913715745074034,0.018615083768963814,0.027280628438176358
scene0071_00,1,273,0.00012540841245473413,0.00012609284021891654,0.005427966909097536,0.003711113357207205,0.212257519364357,0.9825159863908671,0.0014037501171412898,0.001436074380762875,0.022508766993262513
scene0071_00,2,273,1.6398770569878133e-05,1.790006172086578e-05,0.08387072482759192,0.0008198933702482263,0.21409516036510468,0.9961704254834624,0.0005013015874660105,0.000506201817188412,0.009680387458146027
scene0071_00,3,991,6.706358758929195e-05,6.705893611069769e-05,6.935922698844682e-05,0.003210712679609316,0.16770558059215546,0.9808550635687104,0.0002430645349603167,0.00024311634479090571,0.00021310714684191586
scene0096_00,0,120,0.04436470386270817,0.0431414432823658,0.027572833217322786,2.366499749656402,3.1184964179992676,0.2411407831038407,0.020268415445640023,0.020073924213647842,0.009595778836969607
scene0096_00,1,273,0.00013515541566763635,0.00014018705405760556,0.03589231847258601,0.0031862313553298006,0.22084927558898926,0.9855728240591582,0.001400502013135435,0.0014256327413022518,0.01762777147209801
scene0096_00,2,273,1.3988938322515482e-05,1.4769630070077255e-05,0.05285790800836826,0.0007564315996482636,0.21238553524017334,0.9964384034026005,0.000403700740794502,0.00040824327152222395,0.011127019217693686
scene0096_00,3,991,5.1069752609456894e-05,5.1308557885931805e-05,0.00465429718383077,0.002430698415197657,0.20358338952064514,0.9880604285992047,0.00016568924700674845,0.00016556604532524943,0.0007435707731473769
scene0109_00,0,120,0.0532418414947753,0.052325621247291565,0.01720865059811365,2.863085530585762,4.158477306365967,0.31150627509669615,0.0233664322945683,0.022866463288664818,0.021396891044410896
scene0109_00,1,273,0.00010181738564552252,0.00010208728053839877,0.002643766113200909,0.002046345469484728,0.22104811668395996,0.9907425337967911,0.0010893658761614792,0.0011011329479515553,0.010686331575098537
scene0109_00,2,12,0.0002487074752915519,0.0002578475105110556,0.03544744411682727,0.021023048101994356,0.24064315855503082,0.9126380810980473,2.0859202976088453e-05,2.2508984329761006e-05,0.07329434902539068
scene0109_00,3,991,6.441672594817446e-05,6.455770926550031e-05,0.0021838339515121183,0.002638622952390598,0.27386292815208435,0.9903651692830608,0.00020429071054373104,0.00020432779274415225,0.00018148387903176098
scene0136_01,0,120,0.030803692486052456,0.029456982389092445,0.04371911249178275,2.7816832816177093,3.7635111808776855,0.26088082433463233,0.02852209586808336,0.027049046009778976,0.05164591918901539
scene0136_01,1,273,6.775115340214093e-05,6.426409527193755e-05,0.0514686164751432,0.0022344709011608045,0.1536465436220169,0.9854570701788269,0.0011211620482433832,0.0011617172276601195,0.03490968236600983
scene0136_01,2,273,6.25043481483559e-06,6.705761279590661e-06,0.06790078646862673,0.00034175595715789495,0.17438888549804688,0.998040265260129,0.00021210216746022837,0.0002180151641368866,0.027121951356308405
scene0136_01,3,273,2.826319962177408e-06,3.2892442050069803e-06,0.14073878799418305,0.00033452730213168934,0.18374180793762207,0.9981793620848378,0.00015737366187834368,0.0001573746558278799,6.315817060887819e-06
scene0150_00,0,120,0.025682792919881813,0.023294128477573395,0.09300641288351788,0.9241567688669632,0.8559772968292236,0.07377479052750878,0.03593835609562597,0.03357727825641632,0.06569799222110258
scene0150_00,1,273,4.160643070513897e-05,4.340103259892203e-05,0.04134929024309976,0.0015661925453363252,0.0162653811275959,0.9037100616917535,0.000826508189347434,0.0008590861689299345,0.03792166695347822
scene0150_00,2,273,2.596372920701473e-06,3.6106787320022704e-06,0.2809183221732726,0.0001378265248759215,0.03713130205869675,0.9962881311121801,8.42524219227566e-05,8.649715164210647e-05,0.025951487149978577
scene0150_00,3,273,1.2894850956368397e-06,1.8197292774857488e-06,0.2913863003740465,0.0001990006151561746,0.035783834755420685,0.99443881248289,8.857757187125359e-05,8.868874283507466e-05,0.00125349576809098
scene0164_01,0,120,0.027995890210016378,0.027293875813484192,0.025075623288486087,2.0204606380432333,2.920010805130005,0.30806398575868343,0.01934703282806386,0.01873611845076084,0.031576644477330745
scene0164_01,1,273,0.00018527461397861245,0.00018589211686048657,0.0033218346872533654,0.0030668113953795546,0.2848431169986725,0.989233331569694,0.0016277126636603807,0.0016638633096590638,0.021726932608478897
scene0164_01,2,273,1.1084685799031764e-05,1.1068984349549282e-05,0.001416499282627706,0.0003858437133485524,0.2548186779022217,0.9984858107085204,0.00024305053905679386,0.00024738546926528215,0.01752297829521977
scene0164_01,3,991,2.1288353538992095e-05,2.148896237486042e-05,0.0093354361354839,0.0018209439792064189,0.2508622109889984,0.9927412583504405,0.00013172261347652815,0.00013167232100386173,0.0003818059127363323
scene0177_01,0,120,0.02977277082402488,0.029340239241719246,0.014527757085901006,2.4492170360364844,3.2911181449890137,0.25581005356322134,0.029734461909997612,0.028423022478818893,0.044105033248904156
scene0177_01,1,273,7.76480969484788e-05,7.844504580134526e-05,0.010159326758309998,0.0023307248043520196,0.1686655879020691,0.9861813851103683,0.0012761277909161567,0.0012982329353690147,0.017027101878735462
scene0177_01,2,991,2.525911006235705e-05,2.6413747036713175e-05,0.04371348649441013,0.001981220107715362,0.17453047633171082,0.9886482856784858,0.00011953292893814606,0.0001219052865053527,0.019460661922175798
