scene,frame_count_actual,iteration,delta_norm_mean,delta_norm_p95,delta_norm_max,pose_ate_rmse_aligned,pose_ate_mean_aligned,pose_ate_max_aligned,pose_are_mean_deg_aligned,pose_are_max_deg_aligned,pose_rpe_rot_mean_deg,pose_rpe_trans_mean_aligned,pose_sim3_scale,frame_count_requested,inference_time_ms,peak_cuda_memory_mb
scene0000_00,25,1,1.8327237367630005,2.053664207458496,2.124088764190674,1.1752774995457536,0.657755488035095,5.2775609123893625,9.111803742605254,108.45506572696955,11.090348771632796,0.6907481485802084,2.7285361557590027,25,1757.872608024627,8256.69287109375
scene0000_00,25,2,0.004388006404042244,0.01015384029597044,0.013123013079166412,1.178854834662498,0.6584264519335217,5.295343412977009,8.408548621235969,107.7583599931856,11.073985137660555,0.6940192488877898,2.720181935110449,25,1757.872608024627,8256.69287109375
scene0000_00,25,4,0.0004869433760177344,0.0016076136380434036,0.002278902567923069,1.1791560010416096,0.6580697298880673,5.297826595024402,8.23482999515089,107.56985915325504,11.068837775856968,0.6942892872892973,2.720094559067518,25,1757.872608024627,8256.69287109375
scene0000_00,25,8,0.00029300982714630663,0.0009339511743746698,0.0016374244587495923,1.1795414148460142,0.6576316609624988,5.3009893337406,8.009926721414232,107.25724233977986,11.056608289707006,0.6947007571107617,2.720298698316107,25,1757.872608024627,8256.69287109375
scene0000_00,25,16,0.0001465594832552597,0.00041230471106246114,0.001037374953739345,1.1802563216668247,0.6573587592441412,5.305491578690457,7.760463490060983,106.72230013678046,11.027895821626347,0.6955416585653444,2.7202727740033774,25,1757.872608024627,8256.69287109375
scene0000_00,50,1,1.8704370260238647,2.125615119934082,2.220582962036133,0.14784023218651404,0.13228970381589464,0.27255142704601737,2.3401409262498394,10.253318046707856,2.2465952271313014,0.13344648599975692,3.4693280856730953,50,3897.7889232337475,10501.40478515625
scene0000_00,50,2,0.003862452693283558,0.009400361217558384,0.012929901480674744,0.14258409134741287,0.12865600055960785,0.25523736901273936,2.3654639411089375,10.213068606105871,2.252590149639849,0.12756634737274136,3.476182356980061,50,3897.7889232337475,10501.40478515625
scene0000_00,50,4,0.0004595354839693755,0.0012978517916053534,0.0014462503604590893,0.1414255059288106,0.12778843029357548,0.2570258015377988,2.378256877954905,10.17933014287904,2.2599535482415054,0.1261586310061296,3.4783860323028533,50,3897.7889232337475,10501.40478515625
scene0000_00,50,8,0.00026809683186002076,0.000792626990005374,0.0009003591840155423,0.140088941216909,0.12671328283933056,0.25886709172123956,2.3978973835420225,10.122562079722647,2.2735439320424407,0.12447146630363731,3.481113581159681,50,3897.7889232337475,10501.40478515625
scene0000_00,50,16,0.00012726754357572645,0.0003735057543963194,0.0004530001024249941,0.1389275710363502,0.12564520824265313,0.2606981059257569,2.421846007500618,10.037121571423555,2.296074375654356,0.12283744934472132,3.4837978787587818,50,3897.7889232337475,10501.40478515625
scene0000_00,100,1,1.8707880973815918,2.123018741607666,2.2611072063446045,0.1947368985933545,0.15672064790401097,0.8269156743389094,3.2439591625233883,16.68554198845859,2.4400426806305715,0.12690845478263674,3.4589157489130358,100,12484.741255640984,14989.919921875
scene0000_00,100,2,0.005526240915060043,0.014043988659977913,0.020853616297245026,0.18710883499327496,0.14953744418447107,0.8302603206125193,3.3377994623227414,17.131884000183298,2.4269876363769414,0.12289746485858949,3.4656045259131254,100,12484.741255640984,14989.919921875
scene0000_00,100,4,0.00044155202340334654,0.001489134505391121,0.0029477165080606937,0.18637280645520551,0.1486136365680244,0.8326139172321533,3.362996426895043,17.18671565329014,2.4303414064671305,0.12209849638111105,3.4669735298856286,100,12484.741255640984,14989.919921875
